Year,State,Beverage Type,Beverage Gallon,Ethanol Gallon,Population(>14),Average(>14),Decile(>14),Population(>21),Average(>21),Decile(>21),Source,ABV,Ethanol by ABV
1970,Alabama,Spirits,3863000.0,1738350,2499000,6956,9.0,2020000,8606,9.0,,,
1970,Alabama,Wine,1412000.0,225920,2499000,904,9.0,2020000,1118,9.0,,,
1970,Alabama,Beer,33098000.0,1489410,2499000,5960,10.0,2020000,7373,10.0,,,
1970,Alabama,All Beverages,,3453680,2499000,13820,10.0,2020000,17097,10.0,,,
1970,Alaska,Spirits,945000.0,425250,205000,20744,1.0,165000,25773,1.0,,,
1970,Alaska,Wine,470000.0,75200,205000,3668,2.0,165000,4558,2.0,,,
1970,Alaska,Beer,5372000.0,241740,205000,11792,5.0,165000,14651,5.0,,,
1970,Alaska,All Beverages,,742190,205000,36204,1.0,165000,44981,1.0,,,
1970,Arizona,Spirits,2967000.0,1335150,1272000,10496,5.0,1031000,12950,5.0,,,
1970,Arizona,Wine,2508000.0,401280,1272000,3155,3.0,1031000,3892,3.0,,,
1970,Arizona,Beer,38604000.0,1737180,1272000,13657,2.0,1031000,16849,2.0,,,
1970,Arizona,All Beverages,,3473610,1272000,27308,4.0,1031000,33692,4.0,,,
1970,Arkansas,Spirits,1865000.0,839250,1422000,5902,10.0,1169000,7179,10.0,,,
1970,Arkansas,Wine,1193000.0,190880,1422000,1342,7.0,1169000,1633,8.0,,,
1970,Arkansas,Beer,22378000.0,1007010,1422000,7082,10.0,1169000,8614,10.0,,,
1970,Arkansas,All Beverages,,2037140,1422000,14326,10.0,1169000,17426,10.0,,,
1970,California,Spirits,45071000.0,20281950,14811000,13694,3.0,12247000,16561,3.0,,,
1970,California,Wine,58590000.0,9374400,14811000,6329,1.0,12247000,7654,1.0,,,
1970,California,Beer,363645000.0,16364025,14811000,11049,7.0,12247000,13362,7.0,,,
1970,California,All Beverages,,46020375,14811000,31072,2.0,12247000,37577,2.0,,,
1970,Colorado,Spirits,4494000.0,2022300,1608000,12576,3.0,1301000,15544,3.0,,,
1970,Colorado,Wine,3132000.0,501120,1608000,3116,3.0,1301000,3852,3.0,,,
1970,Colorado,Beer,42145000.0,1896525,1608000,11794,5.0,1301000,14577,5.0,,,
1970,Colorado,All Beverages,,4419945,1608000,27487,4.0,1301000,33973,3.0,,,
1970,Connecticut,Spirits,7277000.0,3274650,2238000,14632,2.0,1868000,17530,2.0,,,
1970,Connecticut,Wine,4726000.0,756160,2238000,3379,3.0,1868000,4048,3.0,,,
1970,Connecticut,Beer,49680000.0,2235600,2238000,9989,8.0,1868000,11968,8.0,,,
1970,Connecticut,All Beverages,,6266410,2238000,28000,4.0,1868000,33546,4.0,,,
1970,Delaware,Spirits,1521000.0,684450,394000,17372,1.0,322000,21256,2.0,,,
1970,Delaware,Wine,528000.0,84480,394000,2144,5.0,322000,2624,5.0,,,
1970,Delaware,Beer,10263000.0,461835,394000,11722,6.0,322000,14343,5.0,,,
1970,Delaware,All Beverages,,1230765,394000,31238,2.0,322000,38223,2.0,,,
1970,District,Spirits,5730000.0,2578500,581000,44380,1.0,486000,53056,1.0,,,
1970,District,Wine,2976000.0,476160,581000,8196,1.0,486000,9798,1.0,,,
1970,District,Beer,17887000.0,804915,581000,13854,1.0,486000,16562,2.0,,,
1970,District,All Beverages,,3859575,581000,66430,1.0,486000,79415,1.0,,,
1970,Florida,Spirits,17402000.0,7830900,5166000,15159,2.0,4355000,17981,2.0,,,
1970,Florida,Wine,9539000.0,1526240,5166000,2954,4.0,4355000,3505,4.0,,,
1970,Florida,Beer,125228000.0,5635260,5166000,10908,7.0,4355000,12940,7.0,,,
1970,Florida,All Beverages,,14992400,5166000,29021,3.0,4355000,34426,3.0,,,
1970,Georgia,Spirits,7511000.0,3379950,3312000,10205,6.0,2684000,12593,6.0,,,
1970,Georgia,Wine,2874000.0,459840,3312000,1388,7.0,2684000,1713,7.0,,,
1970,Georgia,Beer,58089000.0,2614005,3312000,7893,9.0,2684000,9739,9.0,,,
1970,Georgia,All Beverages,,6453795,3312000,19486,8.0,2684000,24045,8.0,,,
1970,Hawaii,Spirits,1386000.0,623700,555000,11238,4.0,450000,13860,4.0,,,
1970,Hawaii,Wine,867000.0,138720,555000,2499,5.0,450000,3083,4.0,,,
1970,Hawaii,Beer,13640000.0,613800,555000,11059,7.0,450000,13640,6.0,,,
1970,Hawaii,All Beverages,,1376220,555000,24797,5.0,450000,30583,5.0,,,
1970,Idaho,Spirits,853000.0,383850,513000,7482,8.0,410000,9362,8.0,,,
