State,Climate Index,Value
Alabama,Average Temperature,64.2°F
Alabama,Maximum Temperature,75.1°F
Alabama,Minimum Temperature,53.3°F
Alabama,Precipitation,"65.16"""
Alabama,Cooling Degree Days,"1,889°Df"
Alabama,Heating Degree Days,"2,396°Df"
Alabama,Palmer Z-Index,1.04
Arizona,Average Temperature,62.1°F
Arizona,Maximum Temperature,76.4°F
Arizona,Minimum Temperature,47.8°F
Arizona,Precipitation,"12.57"""
Arizona,Cooling Degree Days,"3,152°Df"
Arizona,Heating Degree Days,"1,723°Df"
Arizona,Palmer Z-Index,-0.84
Arkansas,Average Temperature,61.3°F
Arkansas,Maximum Temperature,72.0°F
Arkansas,Minimum Temperature,50.7°F
Arkansas,Precipitation,"50.23"""
Arkansas,Cooling Degree Days,"1,784°Df"
Arkansas,Heating Degree Days,"3,254°Df"
Arkansas,Palmer Z-Index,0.07
California,Average Temperature,60.4°F
California,Maximum Temperature,73.1°F
California,Minimum Temperature,47.6°F
California,Precipitation,"18.93"""
California,Cooling Degree Days,"1,146°Df"
California,Heating Degree Days,"2,689°Df"
California,Palmer Z-Index,-1.47
Colorado,Average Temperature,47.5°F
Colorado,Maximum Temperature,61.5°F
Colorado,Minimum Temperature,33.5°F
Colorado,Precipitation,"17.10"""
Colorado,Cooling Degree Days,428°Df
Colorado,Heating Degree Days,"6,723°Df"
Colorado,Palmer Z-Index,-1.37
Connecticut,Average Temperature,51.4°F
Connecticut,Maximum Temperature,60.9°F
Connecticut,Minimum Temperature,41.9°F
Connecticut,Precipitation,"51.07"""
Connecticut,Cooling Degree Days,706°Df
Connecticut,Heating Degree Days,"5,410°Df"
Connecticut,Palmer Z-Index,0.23
Delaware,Average Temperature,57.4°F
Delaware,Maximum Temperature,67.2°F
Delaware,Minimum Temperature,47.6°F
Delaware,Precipitation,"40.90"""
Delaware,Cooling Degree Days,"1,254°Df"
Delaware,Heating Degree Days,"4,164°Df"
Delaware,Palmer Z-Index,-0.62
Florida,Average Temperature,72.2°F
Florida,Maximum Temperature,82.2°F
Florida,Minimum Temperature,62.2°F
Florida,Precipitation,"55.38"""
Florida,Cooling Degree Days,"3,758°Df"
Florida,Heating Degree Days,505°Df
