State,Beverage Type,Beverage Gallon,Ethanol Gallon,Population(>14),Average(>14),Decile(>14),Population(>21),Average(>21),Decile(>21),Source,ABV,Ethanol by ABV,Climate Index,Value_x,Value_y
Alabama,Spirits,8282321.0,3404034,4181523,8141,8.0,3724348,9140,8.0,6.0,368.0,3047894.0,Average Temperature,64.2°F,61390
Alabama,Spirits,8282321.0,3404034,4181523,8141,8.0,3724348,9140,8.0,6.0,368.0,3047894.0,Maximum Temperature,75.1°F,61390
Alabama,Spirits,8282321.0,3404034,4181523,8141,8.0,3724348,9140,8.0,6.0,368.0,3047894.0,Minimum Temperature,53.3°F,61390
Alabama,Spirits,8282321.0,3404034,4181523,8141,8.0,3724348,9140,8.0,6.0,368.0,3047894.0,Precipitation,"65.16""",61390
Alabama,Spirits,8282321.0,3404034,4181523,8141,8.0,3724348,9140,8.0,6.0,368.0,3047894.0,Cooling Degree Days,"1,889°Df",61390
Alabama,Spirits,8282321.0,3404034,4181523,8141,8.0,3724348,9140,8.0,6.0,368.0,3047894.0,Heating Degree Days,"2,396°Df",61390
Alabama,Spirits,8282321.0,3404034,4181523,8141,8.0,3724348,9140,8.0,6.0,368.0,3047894.0,Palmer Z-Index,1.04,61390
Alabama,Wine,7895705.0,1018546,4181523,2436,8.0,3724348,2735,8.0,7.0,118.0,931693.0,Average Temperature,64.2°F,61390
Alabama,Wine,7895705.0,1018546,4181523,2436,8.0,3724348,2735,8.0,7.0,118.0,931693.0,Maximum Temperature,75.1°F,61390
Alabama,Wine,7895705.0,1018546,4181523,2436,8.0,3724348,2735,8.0,7.0,118.0,931693.0,Minimum Temperature,53.3°F,61390
Alabama,Wine,7895705.0,1018546,4181523,2436,8.0,3724348,2735,8.0,7.0,118.0,931693.0,Precipitation,"65.16""",61390
Alabama,Wine,7895705.0,1018546,4181523,2436,8.0,3724348,2735,8.0,7.0,118.0,931693.0,Cooling Degree Days,"1,889°Df",61390
Alabama,Wine,7895705.0,1018546,4181523,2436,8.0,3724348,2735,8.0,7.0,118.0,931693.0,Heating Degree Days,"2,396°Df",61390
Alabama,Wine,7895705.0,1018546,4181523,2436,8.0,3724348,2735,8.0,7.0,118.0,931693.0,Palmer Z-Index,1.04,61390
